"date","close","volume","open","high","low"
"2016/05/12","101.4600","2866990.0000","101.7800","102.2800","101.1500"
"2016/05/11","101.6000","2795901.0000","102.5500","102.6800","101.4400"
"2016/05/10","102.1600","3671994.0000","100.3000","102.4200","100.2000"
"2016/05/09","100.0900","3834167.0000","100.3300","101.3700","99.9800"
"2016/05/06","101.1200","3742107.0000","100.2600","101.2900","99.8100"
"2016/05/05","100.2900","3530355.0000","101.1200","101.2300","99.9100"
"2016/05/04","100.6700","5628164.0000","101.3900","101.7800","100.2300"
"2016/05/03","102.1300","4786927.0000","103.4600","103.8650","101.8700"
"2016/05/02","104.3700","4222633.0000","103.8900","104.9000","103.5400"
"2016/04/29","104.3700","3054310.0000","103.5300","104.9400","103.5300"
"2016/04/28","104.2300","4669570.0000","105.1500","105.5900","103.6900"
"2016/04/27","105.8900","6338290.0000","106.3200","107.0700","104.8800"
"2016/04/26","104.8000","5514951.0000","105.4500","105.7650","103.6200"
"2016/04/25","105.2000","2768030.0000","105.1900","105.2000","104.2775"
"2016/04/22","105.7000","3061821.0000","105.7300","106.3100","104.9300"
"2016/04/21","105.4300","2628426.0000","105.5600","105.9600","105.2500"
"2016/04/20","105.5300","3823175.0000","105.4200","106.1100","105.2000"
"2016/04/19","105.0000","3850497.0000","105.6000","106.2850","104.5100"
"2016/04/18","105.1300","2809194.0000","104.6300","105.3425","104.0300"
"2016/04/15","104.5700","3764691.0000","104.4700","105.1600","104.2100"
"2016/04/14","104.6800","5217566.0000","105.0000","105.4300","101.2500"
"2016/04/13","104.6100","3664535.0000","103.6300","104.7500","103.6100"
"2016/04/12","103.0800","3188444.0000","102.2900","103.4800","102.2900"
"2016/04/11","102.1400","4583468.0000","101.5800","102.9300","101.1100"
"2016/04/08","101.3200","2755510.0000","101.4400","102.3485","100.9600"
"2016/04/07","100.8900","3844696.0000","99.9000","101.4100","99.6700"
"2016/04/06","100.3700","5070353.0000","99.5900","100.5400","98.4200"
"2016/04/05","99.8600","3120370.0000","99.7500","100.3500","99.3400"
"2016/04/04","100.2700","3707366.0000","100.3000","101.1800","99.8000"
"2016/04/01","99.9700","4038090.0000","99.3900","100.4600","98.8200"
"2016/03/31","100.1000","3831929.0000","100.0800","100.4200","98.9900"
"2016/03/30","100.2500","3010404.0000","100.8200","101.0000","99.9000"
"2016/03/29","100.1200","3766598.0000","98.4100","100.3200","98.0800"
"2016/03/28","98.9100","2279663.0000","98.9600","99.2900","98.6500"
"2016/03/24","99.0600","2847303.0000","98.1500","99.0800","98.0000"
"2016/03/23","99.1100","3235291.0000","98.7700","99.4650","98.2800"
"2016/03/22","98.6600","3510099.0000","98.6800","99.2700","98.3100"
"2016/03/21","99.1700","3996675.0000","99.0800","99.6000","98.7900"
"2016/03/18","99.0500","9512746.0000","99.2100","100.2900","98.8200"
"2016/03/17","98.8400","4159642.0000","97.8200","99.2700","97.3901"
"2016/03/16","97.4900","4598208.0000","96.2000","98.0000","96.0000"
"2016/03/15","96.2900","2750288.0000","96.0600","96.7000","95.8800"
"2016/03/14","96.8300","3974535.0000","96.3000","97.3700","96.2900"
"2016/03/11","96.7500","4031019.0000","97.1800","97.6500","96.4730"
"2016/03/10","96.1800","4807461.0000","96.6000","97.1200","95.0500"
"2016/03/09","96.6000","4158952.0000","97.3200","97.4800","96.4000"
"2016/03/08","96.9000","5353871.0000","96.1400","97.4900","96.1250"
"2016/03/07","96.9200","6307585.0000","96.5500","97.4600","96.0500"
"2016/03/04","97.0000","4674083.0000","96.1700","97.2950","95.7800"
"2016/03/03","96.1100","4597920.0000","95.2000","96.1500","95.0700"
"2016/03/02","95.5300","5446992.0000","94.7600","96.0000","94.4000"
"2016/03/01","95.0500","12348350.0000","92.2200","95.0500","92.0700"
"2016/02/29","96.6200","8849970.0000","97.4300","98.8700","96.5100"
"2016/02/26","97.6900","14653580.0000","100.2100","100.5500","96.5000"
"2016/02/25","98.0700","16860030.0000","93.9100","98.7300","93.6800"
"2016/02/24","93.6100","16989290.0000","91.1100","94.1500","91.1100"
"2016/02/23","91.6000","11566680.0000","92.2300","92.4300","90.4850"
"2016/02/22","92.3700","21822960.0000","89.1900","94.9100","88.8700"
"2016/02/19","88.2300","11817550.0000","88.3500","88.9900","87.4200"
"2016/02/18","88.3600","4996775.0000","88.5500","89.0400","88.1600"
"2016/02/17","88.1200","5139734.0000","86.7100","88.4900","86.6400"
"2016/02/16","86.4800","6959881.0000","87.3400","87.5000","85.5600"
"2016/02/12","85.9500","5886288.0000","84.9900","86.1300","84.9000"
"2016/02/11","84.6600","7711795.0000","85.3900","86.5500","83.8450"
"2016/02/10","86.9600","3618823.0000","87.3600","88.4500","86.7400"
"2016/02/09","87.2400","7360209.0000","86.2600","87.7700","85.9300"
"2016/02/08","86.7800","6858385.0000","87.3400","87.4000","85.8200"
"2016/02/05","87.8400","5216662.0000","88.0400","88.5100","87.4400"
"2016/02/04","88.1200","5921526.0000","86.0900","88.7100","86.0300"
"2016/02/03","85.9600","8305203.0000","85.9900","86.3700","84.2900"
"2016/02/02","85.4200","7396825.0000","86.1700","86.7292","85.0800"
"2016/02/01","87.5600","5036751.0000","87.0600","87.8400","86.4500"
"2016/01/29","87.6900","7886519.0000","86.8700","87.6900","86.7601"
"2016/01/28","86.4500","5757240.0000","86.3000","87.2000","85.9200"
"2016/01/27","85.8100","8083699.0000","85.7000","87.5700","84.7500"
"2016/01/26","85.6500","7392784.0000","85.2900","86.4700","85.2100"
"2016/01/25","84.9000","10436590.0000","85.9800","86.1500","84.6900"
"2016/01/22","86.3500","4646160.0000","86.9500","87.3800","85.8800"
"2016/01/21","85.5700","5741604.0000","84.8300","86.7900","84.5400"
"2016/01/20","84.8300","9600804.0000","84.4400","85.5800","83.3900"
"2016/01/19","85.2400","7393593.0000","86.3500","86.3500","84.4700"
"2016/01/15","85.6300","10467540.0000","86.9900","88.0600","85.4700"
"2016/01/14","89.0100","7395903.0000","89.0800","89.5800","87.8600"
"2016/01/13","88.8300","8588783.0000","90.6700","90.6700","88.4100"
"2016/01/12","90.5000","7690599.0000","90.9900","91.1500","89.6700"
"2016/01/11","90.5000","7185233.0000","91.0900","91.4000","89.9200"
"2016/01/08","90.4000","7467618.0000","91.5700","91.8800","90.2200"
"2016/01/07","91.9000","6984129.0000","91.4700","93.3500","91.4300"
"2016/01/06","93.1200","8296878.0000","93.9000","94.6400","92.5400"
"2016/01/05","95.7200","4253180.0000","95.1400","96.0000","94.8000"
"2016/01/04","95.5700","5378218.0000","94.4500","95.6400","93.9600"
"2015/12/31","96.0700","2950974.0000","96.4100","96.6800","95.7100"
"2015/12/30","96.9000","3161684.0000","96.9200","97.5000","96.5200"
"2015/12/29","97.2700","3291434.0000","96.6700","97.7700","96.3500"
"2015/12/28","96.0900","3606828.0000","95.9800","96.3100","95.7000"
"2015/12/24","96.3000","1382707.0000","95.8900","96.5200","95.8700"
"2015/12/23","96.3000","4671605.0000","95.5000","96.6000","95.4300"
"2015/12/22","94.8700","4644056.0000","94.3100","95.4100","94.0000"
"2015/12/21","93.6100","8708803.0000","93.0200","93.8900","92.6900"
"2015/12/18","92.3400","8653723.0000","93.3100","94.3300","92.3400"
"2015/12/17","93.8700","4798153.0000","95.1300","95.7300","93.8400"
"2015/12/16","95.1300","9866883.0000","93.9700","95.4300","93.4400"
"2015/12/15","93.2600","6618064.0000","93.6800","94.6600","93.2300"
"2015/12/14","93.0300","6746532.0000","93.3000","93.5700","92.2000"
"2015/12/11","93.3000","9942579.0000","93.0100","94.6300","92.9300"
"2015/12/10","93.8700","5812036.0000","94.0700","94.6700","91.6300"
"2015/12/09","94.1600","6911186.0000","93.5800","95.5800","93.2100"
"2015/12/08","94.2300","7011800.0000","94.9800","95.3200","93.8950"
"2015/12/07","95.9100","4680713.0000","95.6200","96.2500","95.3700"
"2015/12/04","95.7300","9228851.0000","94.9900","96.6300","94.7900"
"2015/12/03","94.7000","6082305.0000","95.3000","95.8000","94.4000"
"2015/12/02","95.2500","3892531.0000","96.4600","96.8300","95.1300"
"2015/12/01","96.7000","4595629.0000","96.0400","97.4500","96.0200"
"2015/11/30","96.0500","5514845.0000","97.0600","97.2500","95.9400"
"2015/11/27","96.8000","1919808.0000","97.0100","97.1700","96.5400"
"2015/11/25","97.2700","4336420.0000","97.4100","98.0500","97.2500"
"2015/11/24","97.3600","5344059.0000","97.5700","97.8800","96.4600"
"2015/11/23","98.0900","4177120.0000","98.1800","98.5799","97.8900"
"2015/11/20","98.2200","4711088.0000","98.6400","99.5500","98.1400"
"2015/11/19","98.3000","4366641.0000","97.9700","98.8900","97.8300"
"2015/11/18","97.7100","4190672.0000","97.6300","97.8600","96.8400"
"2015/11/17","97.5500","4517458.0000","98.1700","98.3000","97.4000"
"2015/11/16","97.8300","5099023.0000","96.5600","97.8600","96.3800"
"2015/11/13","96.4800","6217140.0000","98.7200","99.6350","96.3900"
"2015/11/12","99.2200","8807990.0000","97.2600","99.7300","96.8800"
"2015/11/11","98.2600","2172419.0000","99.0400","99.3999","98.0700"
"2015/11/10","98.6800","2738471.0000","98.8300","99.4150","97.9500"
"2015/11/09","99.6600","3164717.0000","100.6000","100.8399","99.2100"
"2015/11/06","100.8000","2735083.0000","100.0400","100.8000","99.2900"
"2015/11/05","100.8000","2832825.0000","100.4300","100.9900","99.7200"
"2015/11/04","100.3300","2847003.0000","100.4200","101.0400","100.0000"
"2015/11/03","100.0000","3089882.0000","99.3800","100.3400","98.8000"
"2015/11/02","99.3900","3067463.0000","98.8200","99.5800","98.3500"
"2015/10/30","98.4100","4010821.0000","99.0300","99.1800","98.2600"
"2015/10/29","99.0500","3287397.0000","99.2400","99.6100","98.2400"
"2015/10/28","99.3200","3829906.0000","99.3700","99.5200","98.1700"
"2015/10/27","98.8800","3396511.0000","99.8000","99.9700","98.7100"
"2015/10/26","100.2300","2701135.0000","100.6200","100.9799","100.0000"
"2015/10/23","100.6200","5027150.0000","100.4600","100.9000","100.1800"
"2015/10/22","99.7900","5717150.0000","98.2900","100.2300","98.1000"
"2015/10/21","97.9700","10653760.0000","96.2400","98.6800","96.0200"
"2015/10/20","95.6200","9004963.0000","94.3300","97.6900","93.0800"
"2015/10/19","92.0500","5513359.0000","92.5000","92.8500","91.2100"
"2015/10/16","93.0000","3085493.0000","94.0000","94.1500","92.6300"
